s_0_cos(theta),s_0_sin(theta),s_0_theta_dot,s_1_cos(theta),s_1_sin(theta),s_1_theta_dot,action,reward
0.9126557705797919,0.40872905992528386,-0.8879210044592782,0.9235893208173065,0.3833833153284407,-0.5520861075739683,0.19525401,-0.25617090625869066
0.8579282574739784,-0.5137695057393569,0.6046054891435255,0.866747301014637,-0.4987475475466943,0.3483919803586458,0.86075747,-0.328434457142753
-0.3347831612776853,0.9422951952148113,-0.4740470700624928,-0.3486138059836365,0.9372664585258578,0.2943323526266347,0.4110535,-3.6790406046716813
0.35948828364617297,0.9331495988967303,0.7599952375739814,0.28918953850126355,0.9572718583670087,1.4867873472275053,0.17953274,-1.5051854555375457
-0.877960612879977,-0.4787328714757483,0.3932845126891096,-0.8782374669511426,-0.4782247919579669,-0.01157225963155728,-0.3053808,-6.997741965483797
0.17522586039453683,0.9845282615796228,-0.10905752022685444,0.13983167363917692,0.9901752890510178,0.7168751420795362,0.58357644,-1.9466096489555824
0.8241585827482064,0.5663591002910324,-0.2900162510208186,0.8213933493773229,0.570362135488238,0.09730540186016201,-0.24965115,-0.3709752770981929
-0.4763543683819897,0.8792533853920584,0.17748467555091385,-0.5227751880733842,0.8524705876068909,1.0719885237513758,1.5670921,-4.2793354742703675
0.02774753059306142,-0.9996149631463042,-0.613947781341939,-0.0265188653513299,-0.9996483130483831,-1.0854613396792214,1.8546511,-2.4221215138406857
-0.7486409553711623,0.6629756556171226,0.29090367798119776,-0.7719606603101847,0.6356703067891905,0.718200328854177,-0.46623394,-5.849631642020336
-0.010547266127403572,-0.9999443760416065,-0.4220266231515477,-0.06035824685183066,-0.99817677895099,-0.9969498814934826,1.1669002,-2.5198204804294884
-0.8212869194960658,0.5705153774129693,-0.08546689684291242,-0.8314158343322964,0.5556507090083945,0.35975658815806644,0.11557968,-6.424228322979353
0.9997365143857968,-0.02295434171867275,-0.7759931444892707,0.998165867391131,-0.06053842726162494,-0.7523821658778008,0.27217823,-0.06081761139136281
0.7956445107564287,0.6057638256805725,0.6821960720525717,0.7515951021110016,0.6596247436859485,1.3918769160806859,1.7023865,-0.47288097769486886
0.21965496023069772,-0.9755776229732058,0.3796007484552242,0.18982876526879097,-0.9818172130679551,-0.6094608264235297,-1.7158557,-1.8380602542260145
-0.5080450498607915,0.8613304983059324,-0.6949345367789024,-0.4952135542923123,0.8687712792474065,-0.29665908612608255,-1.6514828,-4.476616170984563
-0.7727166463393041,-0.6347511201015236,0.9230979616445263,-0.7676407009291857,-0.6408804524066469,0.15916566285675948,-1.9191264,-6.11054996599566
0.7190022111922364,0.6950077843453804,0.7018416059717212,0.6677872816969157,0.74435216558014,1.4226693517510505,1.3304794,-0.6415141220946763
0.9295860096893414,0.3686052774850731,0.13720598616431423,0.9184961383440818,0.3954299480906944,0.5805539986909607,1.112627,-0.14563293128420385
-0.9796215034761068,0.20085245810597419,0.5228393448518798,-0.9876297488079866,0.1568039517023513,0.8954859690195105,1.4800485,-8.669391005198493
0.9938368758131062,0.11085244369902086,-0.47529890945528486,0.9944050917875482,0.10563386496288925,-0.10498856451785704,1.9144734,-0.03859504437809851
0.22989668021211734,-0.973215041204896,-0.040136767984283006,0.20106389329499783,-0.9795781289989368,-0.5905529049975743,1.1966343,-1.7940448978557706
-0.9686699874075625,-0.24835147572710892,-0.23159371568326903,-0.9739098746149376,-0.22693513638816798,-0.44096970521838297,-0.15408255,-8.361040151556915
0.8293412231461443,-0.5587424590904625,0.4961353755330662,0.8361342832408382,-0.5485248038050147,0.2453960339522645,1.1221167,-0.3773674855178415
-0.6401162978767703,0.7682780259727191,-0.9788830854416326,-0.6155346128804176,0.7881098529685786,-0.6317099136622123,-1.5269023,-5.230398027012812
-0.5186125410247745,-0.8550093755578512,0.40560125991700846,-0.5250829409003689,-0.8510510590883602,-0.15170315708634852,0.5596841,-4.494320936351097
0.484658674302177,-0.8747033608164864,0.1402792058914446,0.4524280392352725,-0.8918009134967999,-0.729736344677738,-1.4265869,-1.13785189168882
-0.9982190630808622,-0.05965485815896074,-0.038427917477517504,-0.9976292672066847,-0.06881747752318021,0.18363229021208466,1.7786757,-9.501433491639167
-0.786270846188769,0.6178819923202142,-0.44499522857460017,-0.7872438134680672,0.6166418556636057,0.03152525824215974,0.087393284,-6.148140428465734
0.9998645055999196,0.016461179830998523,-0.2997998727906044,0.9999998891181373,-0.0004709179474142736,-0.3386568260402003,-0.34135225,-0.009375512653900641
-0.6949369230624726,-0.7190707009498184,0.46501101518109533,-0.7026465052490095,-0.711539098476924,-0.21555863963111432,-0.9417775,-5.494032626620803
-0.6993390279814232,0.7147901258005724,0.42990024216761014,-0.7386052190050055,0.6741382131718745,1.1305330558249853,1.0969348,-5.519969947839092
-0.2523879755250847,-0.9676261208805544,0.05454162680339025,-0.28597304019984565,-0.9582376637759848,-0.6974877654951519,-0.17539868,-3.334398495715548
-0.8353594920731371,0.5497040285492826,0.04853558520480328,-0.8488891552337506,0.5285709054862264,0.5018739753334821,0.2737358,-6.55177441368215
-0.9830050842201328,-0.18357833313702826,0.6515590577212691,-0.9808762145993074,-0.19463260680917108,0.2251491866812878,-1.9248408,-8.789813148621421
0.4046879076749254,0.9144548635015788,0.4259721470910891,0.3499500555080618,0.9367683591208151,1.1823945922937007,0.47054198,-1.3504491950047661
0.8718197494849038,-0.48982683104141966,0.07560448274620701,0.8662664294049036,-0.49958229881179644,-0.224508207895259,0.44838288,-0.2628051620837751
-0.675974878117631,-0.7369246665391611,0.934223566961013,-0.6591608139268981,-0.7520020088957404,0.451690463453756,0.46773598,-5.437849702865536
-0.4076021021932071,-0.9131596389940142,-0.8633172896418482,-0.4652557296506705,-0.8851763135258547,-1.2819381668728171,1.7749923,-4.0402618428739565
-0.3891501119558981,-0.9211743539443074,-0.20828050223340444,-0.4252266178713231,-0.9050869148616147,-0.7900690857706296,0.7272812,-3.8877574656654934
-0.7849658947075153,-0.619538977099932,-0.6002154315612849,-0.8192485272765743,-0.5734386196927829,-1.1491649223122211,-0.5619684,-6.154234248696989
-0.999999464376038,0.0010350109356696453,0.9630029701553868,-0.9989757189160345,-0.04524945321428725,0.9259984010732799,-0.25187218,-9.955903217321346
-0.6964071741767619,-0.717646882355896,0.10281880356324957,-0.7076881907529767,-0.7065248931699282,-0.3168376410911312,0.7905248,-5.4827833414941525
-0.08955063175431714,-0.9959822711034583,0.16683355539430034,-0.13148976987512936,-0.9913175275451279,-0.8440178737614643,-1.7590982,-2.763028699222556
-0.13411484401676524,-0.9909657958851853,-0.9219694608117415,-0.21117495893941862,-0.97744827828225,-1.565133776907645,0.6670669,-2.99355214472889
0.2284217003683157,-0.9735622870678832,0.835297185023598,0.23851033220715823,-0.9711399597537067,0.20750819519990416,0.6825515,-1.8667496323370452
